FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,408,824.10,600.00,0.00,270.00
2019,409,612.00,612.00,0.00,46.82
2019,410,773.26,612.00,0.00,208.08
2019,411,809.98,612.00,0.00,244.80
2019,412,840.58,612.00,0.00,275.40
2019,413,612.00,612.00,0.00,46.82
2019,414,773.26,612.00,0.00,208.08
2019,415,809.98,612.00,0.00,244.80
2019,416,840.58,612.00,0.00,275.40
2019,417,624.00,624.00,0.00,47.74
2019,418,788.42,624.00,0.00,212.16
2019,419,825.86,624.00,0.00,249.60
2019,420,857.06,624.00,0.00,280.80
2019,421,624.00,624.00,0.00,47.74
2019,422,788.42,624.00,0.00,212.16
2019,423,825.86,624.00,0.00,249.60
2019,424,857.06,624.00,0.00,280.80
2019,425,636.00,636.00,0.00,48.65
2019,426,803.59,636.00,0.00,216.24
2019,427,841.75,636.00,0.00,254.40
2019,428,873.55,636.00,0.00,286.20
2019,429,636.00,636.00,0.00,48.65
2019,430,803.59,636.00,0.00,216.24
2019,431,841.75,636.00,0.00,254.40
2019,432,873.55,636.00,0.00,286.20
2019,433,648.00,648.00,0.00,49.57
2019,434,818.75,648.00,0.00,220.32
2019,435,857.63,648.00,0.00,259.20
2019,436,890.03,648.00,0.00,291.60
2019,437,648.00,648.00,0.00,49.57
2019,438,818.75,648.00,0.00,220.32
2019,439,857.63,648.00,0.00,259.20
2019,440,890.03,648.00,0.00,291.60
2019,441,660.00,660.00,0.00,50.49
2019,442,833.91,660.00,0.00,224.40
2019,443,873.51,660.00,0.00,264.00
2019,444,906.51,660.00,0.00,297.00
2019,445,660.00,660.00,0.00,50.49
2019,446,833.91,660.00,0.00,224.40
2019,447,873.51,660.00,0.00,264.00
2019,448,906.51,660.00,0.00,297.00
2019,449,672.00,672.00,0.00,51.41
2019,450,849.07,672.00,0.00,228.48
2019,451,889.39,672.00,0.00,268.80
2019,452,922.99,672.00,0.00,302.40
2019,453,672.00,672.00,0.00,51.41
2019,454,849.07,672.00,0.00,228.48
2019,455,889.39,672.00,0.00,268.80
2019,456,922.99,672.00,0.00,302.40
2019,457,684.00,684.00,0.00,52.33
2019,458,864.23,684.00,0.00,232.56
2019,459,905.27,684.00,0.00,273.60
2019,460,939.47,684.00,0.00,307.80
2019,461,684.00,684.00,0.00,52.33
2019,462,864.23,684.00,0.00,232.56
2019,463,905.27,684.00,0.00,273.60
2019,464,939.47,684.00,0.00,307.80
2019,465,696.00,696.00,0.00,53.24
2019,466,879.40,696.00,0.00,236.64
2019,467,921.16,696.00,0.00,278.40
2019,468,955.96,696.00,0.00,313.20
2019,469,696.00,696.00,0.00,53.24
2019,470,879.40,696.00,0.00,236.64
2019,471,921.16,696.00,0.00,278.40
2019,472,955.96,696.00,0.00,313.20
2019,473,708.00,708.00,0.00,54.16
2019,474,894.56,708.00,0.00,240.72
2019,475,937.04,708.00,0.00,283.20
2019,476,972.44,708.00,0.00,318.60
2019,477,708.00,708.00,0.00,54.16
2019,478,894.56,708.00,0.00,240.72
2019,479,937.04,708.00,0.00,283.20
2019,480,972.44,708.00,0.00,318.60
2019,481,720.00,720.00,0.00,55.08
2019,482,909.72,720.00,0.00,244.80
2019,483,952.92,720.00,0.00,288.00
2019,484,988.92,720.00,0.00,324.00
2019,485,720.00,720.00,0.00,55.08
2019,486,909.72,720.00,0.00,244.80
2019,487,952.92,720.00,0.00,288.00
2019,488,988.92,720.00,0.00,324.00
2019,489,732.00,732.00,0.00,56.00
2019,490,924.88,732.00,0.00,248.88
2019,491,968.80,732.00,0.00,292.80
2019,492,1005.40,732.00,0.00,329.40
2019,493,732.00,732.00,0.00,56.00
2019,494,924.88,732.00,0.00,248.88
2019,495,968.80,732.00,0.00,292.80
2019,496,1005.40,732.00,0.00,329.40
2019,497,744.00,744.00,0.00,56.92
2019,498,940.04,744.00,0.00,252.96
2019,499,984.68,744.00,0.00,297.60
2019,500,1021.88,744.00,0.00,334.80
2019,501,744.00,744.00,0.00,56.92
2019,502,940.04,744.00,0.00,252.96
2019,503,984.68,744.00,0.00,297.60
2019,504,1021.88,744.00,0.00,334.80
2019,505,756.00,756.00,0.00,57.83
2019,506,955.21,756.00,0.00,257.04
2019,507,1000.57,756.00,0.00,302.40
2019,508,1038.37,756.00,0.00,340.20
2019,509,756.00,756.00,0.00,57.83
2019,510,955.21,756.00,0.00,257.04
2019,511,1000.57,756.00,0.00,302.40
2019,512,1038.37,756.00,0.00,340.20
2019,513,768.00,768.00,0.00,58.75
2019,514,970.37,768.00,0.00,261.12
2019,515,1016.45,768.00,0.00,307.20
2019,516,1054.85,768.00,0.00,345.60
2019,517,768.00,768.00,0.00,58.75
2019,518,970.37,768.00,0.00,261.12
2019,519,1016.45,768.00,0.00,307.20
2019,520,1054.85,768.00,0.00,345.60
2019,521,780.00,780.00,0.00,59.67
2019,522,985.53,780.00,0.00,265.20
2019,523,1032.33,780.00,0.00,312.00
2019,524,1071.33,780.00,0.00,351.00
2019,525,780.00,780.00,0.00,59.67
2019,526,985.53,780.00,0.00,265.20
2019,527,1032.33,780.00,0.00,312.00
2019,528,1071.33,780.00,0.00,351.00
2019,529,792.00,792.00,0.00,60.59
2019,530,1000.69,792.00,0.00,269.28
2019,531,1048.21,792.00,0.00,316.80
2019,532,1087.81,792.00,0.00,356.40
2019,533,792.00,792.00,0.00,60.59
2019,534,1000.69,792.00,0.00,269.28
2019,535,1048.21,792.00,0.00,316.80
2019,536,1087.81,792.00,0.00,356.40
2019,537,804.00,804.00,0.00,61.51
2019,538,1015.85,804.00,0.00,273.36
2019,539,1064.09,804.00,0.00,321.60
2019,540,1104.29,804.00,0.00,361.80
2019,541,804.00,804.00,0.00,61.51
2019,542,1015.85,804.00,0.00,273.36
2019,543,1064.09,804.00,0.00,321.60
2019,544,1104.29,804.00,0.00,361.80
2019,545,816.00,816.00,0.00,62.42
2019,546,1031.02,816.00,0.00,277.44
2019,547,1079.98,816.00,0.00,326.40
2019,548,1120.78,816.00,0.00,367.20
2019,549,816.00,816.00,0.00,62.42
2019,550,1031.02,816.00,0.00,277.44
2019,551,1079.98,816.00,0.00,326.40
2019,552,1120.78,816.00,0.00,367.20
2019,553,828.00,828.00,0.00,63.34
2019,554,1046.18,828.00,0.00,281.52
2019,555,1095.86,828.00,0.00,331.20
2019,556,1137.26,828.00,0.00,372.60
2019,557,828.00,828.00,0.00,63.34
2019,558,1046.18,828.00,0.00,281.52
2019,559,1095.86,828.00,0.00,331.20
2019,560,1137.26,828.00,0.00,372.60
2019,561,840.00,840.00,0.00,64.26
2019,562,1061.34,840.00,0.00,285.60
2019,563,1111.74,840.00,0.00,336.00
2019,564,1153.74,840.00,0.00,378.00
2019,565,840.00,840.00,0.00,64.26
2019,566,1061.34,840.00,0.00,285.60
2019,567,1111.74,840.00,0.00,336.00
2019,568,1153.74,840.00,0.00,378.00
2019,569,852.00,852.00,0.00,65.18
2019,570,1076.50,852.00,0.00,289.68
2019,571,1127.62,852.00,0.00,340.80
2019,572,1170.22,852.00,0.00,383.40
2019,573,852.00,852.00,0.00,65.18
2019,574,1076.50,852.00,0.00,289.68
