size,income,cum_sum,grouping
1,29462,22226,group
1,29474,22239,group
1,29567,22252,group
1,29618,22278,group
1,29681,22304,group
1,29700,22316,group
1,29720,22328,group
1,29785,22339,group
1,29800,22371,group
1,29820,22377,group
1,29822,22392,group
1,29841,22407,group
1,29988,22429,group
1,29991,22441,group
1,30000,22663,group
1,30027,22764,group
1,30100,22776,group
1,30198,22827,group
1,30230,22839,group
1,30231,22850,group
1,30300,22867,group
1,30304,22889,group
1,30338,22929,group
1,30430,22943,group
1,30500,22970,group
1,30514,23016,group
1,30545,23051,group
1,30619,23059,group
1,30639,23142,group
1,30648,23161,group
1,30752,23176,group
1,30855,23187,group
1,30902,23202,group
1,30959,23220,group
1,31000,23229,group
1,31026,23473,group
1,31062,23759,group
1,31100,23774,group
1,31166,23781,group
1,31200,23793,group
1,31356,23825,group
1,31456,23848,group
1,31543,23862,group
1,31566,24153,group
1,31646,24183,group
1,31660,24229,group
1,31700,24247,group
1,31853,24255,group
1,31865,24318,group
1,31987,24339,group
1,32000,24370,group
1,32060,24555,group
1,32069,24592,group
1,32098,24607,group
1,32163,24625,group
1,32267,24635,group
1,32473,24648,group
1,32512,24662,group
1,32515,24675,group
1,32536,24687,group
1,32577,24701,group
1,32619,24712,group
1,32682,24786,group
1,32719,24821,group
1,32784,24843,group
1,32800,24853,group
1,32823,24862,group
1,32825,24869,group
1,32829,24901,group
1,32840,24921,group
1,32900,24928,group
1,33000,24949,group
1,33090,24973,group
1,33094,25040,group
1,33133,25155,group
1,33192,25167,group
1,33208,25182,group
1,33444,25205,group
1,33508,25238,group
1,33547,25253,group
1,33600,25291,group
1,33611,25329,group
1,33642,25334,group
1,33651,25342,group
1,33671,25482,group
1,33703,25524,group
1,33921,25553,group
1,33962,25582,group
1,33986,25593,group
1,33991,25606,group
1,34000,25673,group
1,34112,25689,group
1,34128,25918,group
1,34138,25936,group
1,34169,25975,group
1,34295,25996,group
1,34300,26008,group
1,34310,26031,group
1,34438,26050,group
1,34500,26062,group
1,34540,26073,group
1,34622,26095,group
1,34645,26104,group
1,34723,26249,group
1,34724,26277,group
1,34790,26328,group
1,34900,26339,group
1,34933,26371,group
1,34956,26396,group
1,34997,26408,group
1,35000,26523,group
1,35162,26572,group
1,35204,26583,group
1,35308,26615,group
1,35369,26628,group
1,35439,26653,group
1,35500,26669,group
1,35565,26741,group
1,35590,26752,group
1,35643,26758,group
1,35670,26775,group
1,35746,26870,group
1,35775,26918,group
1,35783,26938,group
1,35796,26951,group
1,35886,26968,group
1,35900,26983,group
1,35950,26992,group
1,35986,27005,group
1,35990,27010,group
1,36000,27065,group
1,36091,27081,group
1,36197,27121,group
1,36240,27227,group
1,36256,27233,group
1,36300,27250,group
1,36343,27266,group
1,36400,27286,group
1,36512,27297,group
1,36610,27307,group
1,36617,27318,group
1,36654,27339,group
1,36700,27354,group
1,36767,27424,group
1,36827,27541,group
1,36920,27583,group
1,36971,27604,group
1,36975,27623,group
1,37000,27724,group
1,37175,27736,group
1,37231,27862,group
1,37275,27919,group
1,37278,27926,group
1,37306,27936,group
1,37438,27955,group
1,37500,27967,group
1,37541,27981,group
1,37564,28003,group
1,37686,28030,group
1,37689,28076,group
1,37788,28092,group
1,37800,28149,group
1,37880,28163,group
1,37900,28175,group
1,37955,28177,group
1,37985,28199,group
1,37986,28222,group
1,38000,28281,group
1,38100,28297,group
1,38207,28322,group
1,38265,28429,group
1,38300,28442,group
1,38310,28490,group
1,38401,28535,group
1,38500,28549,group
1,38700,28563,group
1,38725,28571,group
1,38800,28583,group
1,38810,28629,group
1,38885,28646,group
1,38932,28734,group
1,39000,28788,group
1,39060,28805,group
1,39139,28815,group
1,39196,28827,group
1,39218,28836,group
1,39299,28962,group
1,39346,28989,group
1,39398,29003,group
1,39507,29019,group
1,39553,29040,group
1,39656,29062,group
1,39760,29071,group
1,39774,29104,group
1,39816,29120,group
1,39831,29160,group
1,39863,29172,group
1,39920,29180,group
1,39984,29237,group
1,40000,29512,group
1,40020,29519,group
1,40137,29533,group
1,40174,29547,group
1,40250,29555,group
1,40278,29579,group
1,40333,29625,group
1,40488,29640,group
1,40500,29654,group
1,40800,29667,group
1,40826,29681,group
1,40852,29726,group
1,40902,29752,group
1,40931,29765,group
1,40954,29779,group
1,41036,29819,group
1,41056,29829,group
1,41161,29840,group
1,41200,29852,group
1,41264,29866,group
1,41367,29996,group
1,41417,30236,group
1,41500,30253,group
1,41669,30281,group
1,41873,30312,group
1,41878,30324,group
1,41885,30331,group
1,41934,30346,group
1,42000,30379,group
1,42088,30469,group
1,42194,30486,group
1,42257,30494,group
1,42286,30510,group
1,42400,30517,group
1,42402,30533,group
1,42452,30552,group
1,42486,30565,group
1,42615,30597,group
1,42800,30608,group
1,42895,30647,group
1,42900,30664,group
1,42919,30678,group
1,42930,30691,group
1,43000,30706,group
1,43020,30728,group
1,43141,30776,group
1,43222,30788,group
1,43229,30801,group
1,43436,30853,group
1,43487,30993,group
1,43600,31022,group
1,43610,31034,group
1,43611,31053,group
1,43643,31065,group
1,43695,31129,group
1,43712,31163,group
1,43746,31178,group
1,43800,31212,group
1,43916,31235,group
1,44000,31264,group
1,44005,31285,group
1,44056,31295,group
1,44120,31318,group
1,44193,31361,group
1,44222,31373,group
1,44400,31379,group
1,44470,31389,group
1,44523,31492,group
1,44730,31499,group
1,44832,31505,group
1,44833,31524,group
1,44937,31550,group
1,45000,31639,group
1,45194,31673,group
1,45245,31697,group
1,45248,31713,group
1,45346,31731,group
1,45448,31743,group
1,45504,31772,group
1,45558,31792,group
1,45600,31804,group
1,45876,31815,group
1,45918,31828,group
1,45959,31981,group
1,45982,31988,group
1,46000,32008,group
1,46010,32032,group
1,46061,32053,group
1,46297,32106,group
1,46332,32113,group
1,46403,32140,group
1,46538,32189,group
1,46594,32260,group
1,46700,32275,group
1,46800,32294,group
1,47008,32312,group
1,47087,32319,group
1,47350,32432,group
1,47400,32444,group
1,47500,32459,group
1,47526,32489,group
1,47573,32522,group
1,47593,32534,group
1,47629,32564,group
1,47800,32598,group
1,48000,32612,group
1,48001,32728,group
1,48110,32735,group
1,48206,32747,group
1,48402,32759,group
1,48507,32777,group
1,48607,32870,group
1,48665,32891,group
1,48768,32906,group
1,48872,32939,group
1,49023,33019,group
1,49033,33032,group
1,49454,33046,group
1,49500,33070,group
1,49641,33138,group
1,49664,33161,group
1,49669,33173,group
1,49700,33187,group
1,49710,33196,group
1,50000,33346,group
1,50158,33360,group
1,50190,33374,group
1,50218,33386,group
1,50300,33400,group
1,50321,33412,group
1,50405,33443,group
1,50452,33462,group
1,50506,33528,group
1,50611,33536,group
1,50657,33548,group
1,50735,33567,group
1,51000,33587,group
1,51065,33631,group
1,51089,33662,group
1,51253,33683,group
1,51357,33697,group
1,51372,33704,group
1,51475,33754,group
1,51503,33772,group
1,51558,33784,group
1,51709,33904,group
1,51771,34003,group
1,52000,34075,group
1,52084,34087,group
1,52086,34117,group
1,52393,34127,group
1,52611,34221,group
1,52744,34246,group
1,52754,34256,group
1,52801,34280,group
1,52806,34287,group
1,52821,34308,group
1,52837,34327,group
1,53000,34362,group
1,53108,34413,group
1,53117,34436,group
1,53158,34442,group
1,53663,34470,group
1,53673,34494,group
1,53721,34507,group
1,53772,34527,group
1,53800,34539,group
1,53842,34569,group
1,53985,34589,group
1,54000,34712,group
1,54080,34735,group
1,54129,34755,group
1,54191,34767,group
1,54347,34775,group
1,54398,34804,group
1,54399,34816,group
1,54509,34824,group
1,54670,34837,group
1,54715,34878,group
1,54812,34894,group
1,54925,34906,group
1,55040,34928,group
1,55150,34944,group
1,55308,34967,group
1,55329,34986,group
1,55457,34995,group
1,55557,35018,group
1,55767,35055,group
1,55800,35072,group
1,55967,35080,group
1,56000,35094,group
1,56172,35160,group
1,56239,35186,group
1,56376,35196,group
1,56549,35211,group
1,56714,35222,group
1,56819,35267,group
1,56880,35324,group
1,56925,35334,group
1,56948,35353,group
1,56979,35360,group
1,57000,35405,group
1,57191,35412,group
1,57193,35427,group
1,57300,35438,group
1,57499,35459,group
1,57811,35467,group
1,57872,35510,group
1,58000,35552,group
1,58010,35559,group
1,58082,35572,group
1,58121,35589,group
1,58200,35613,group
1,58214,35685,group
1,58300,35694,group
1,58503,35719,group
1,58700,35730,group
1,58800,35742,group
1,58949,35785,group
1,59019,35812,group
1,59039,35831,group
1,59133,35847,group
1,59236,35872,group
1,59259,35884,group
1,59466,35897,group
1,59542,35910,group
1,59743,35924,group
1,59766,35933,group
1,59983,35951,group
1,60000,36013,group
1,60010,36026,group
1,60054,36062,group
1,60186,36074,group
1,60416,36098,group
1,60500,36121,group
1,60768,36162,group
1,61028,36170,group
1,61186,36178,group
1,61278,36330,group
1,61344,36343,group
1,61524,36399,group
1,61607,36410,group
1,62000,36430,group
1,62051,36469,group
1,62080,36482,group
1,62125,36674,group
1,62291,36701,group
1,62504,36710,group
1,63000,36749,group
1,63027,36771,group
1,63133,36919,group
1,63160,36952,group
1,63200,36967,group
1,63259,36979,group
1,63343,36992,group
1,63627,37004,group
1,63659,37012,group
1,63782,37025,group
1,64000,37031,group
1,64138,37040,group
1,64185,37052,group
1,64196,37148,group
1,65000,37231,group
1,65154,37250,group
1,65231,37271,group
1,65363,37303,group
1,65900,37315,group
1,65995,37324,group
1,66059,37337,group
1,66188,37353,group
1,66267,37360,group
1,66289,37372,group
1,66710,37391,group
1,66895,37408,group
1,66921,37422,group
1,67000,37462,group
1,67026,37470,group
1,67222,37520,group
1,67302,37535,group
1,67342,37547,group
1,68183,37561,group
1,68394,37635,group
1,68529,37642,group
1,69291,37668,group
1,69394,37681,group
1,70000,37732,group
1,70098,37738,group
1,70200,37747,group
1,70325,37779,group
1,70408,37802,group
1,70470,37818,group
1,70498,37826,group
1,70776,37836,group
1,70842,37851,group
1,71000,37869,group
1,71393,37876,group
1,71444,37886,group
1,71491,37920,group
1,71550,37934,group
1,71600,37980,group
1,72000,37987,group
2,0,742,group
2,210,752,group
2,214,786,group
2,300,814,group
2,306,826,group
2,518,850,group
2,569,872,group
2,1157,908,group
2,1563,918,group
2,1700,940,group
2,1862,956,group
2,1940,980,group
2,2071,994,group
2,2500,1036,group
2,2600,1048,group
2,3000,1108,group
2,3064,1130,group
2,3103,1172,group
2,3135,1216,group
2,3268,1280,group
2,3575,1336,group
2,3600,1362,group
2,3620,1404,group
2,3677,1436,group
2,3900,1486,group
2,3935,1506,group
2,4000,1550,group
2,4033,1578,group
2,4137,1636,group
2,4600,1666,group
2,4763,1686,group
2,5177,1724,group
2,5229,1750,group
2,5281,1888,group
2,5800,1910,group
2,6164,1964,group
2,6205,1984,group
2,6212,2064,group
2,6515,2094,group
2,6734,2136,group
2,6741,2230,group
2,7041,2310,group
2,7047,2382,group
2,7353,2420,group
2,7365,2436,group
2,7559,2502,group
2,7576,2576,group
2,8000,2596,group
2,8067,2660,group
2,8068,2720,group
2,8076,2778,group
2,8170,2806,group
2,8207,2834,group
2,8240,2868,group
2,8400,2924,group
2,8418,3156,group
2,8581,3176,group
2,8700,3212,group
2,8791,3364,group
2,8839,3392,group
2,8944,3414,group
2,9000,3458,group
2,9008,3506,group
2,9101,3524,group
2,9192,3642,group
2,9215,3670,group
2,9294,3698,group
2,9297,3720,group
2,9308,3792,group
2,9319,3834,group
2,9491,3860,group
2,9907,3934,group
2,9940,4016,group
2,10000,4066,group
2,10044,4190,group
2,10100,4230,group
2,10111,4250,group
2,10213,4502,group
2,10295,4530,group
2,10342,4556,group
2,10417,4626,group
2,10962,4636,group
2,11090,4652,group
2,11169,4680,group
2,11479,4696,group
2,11493,4708,group
2,11597,4752,group
2,11600,4774,group
2,11847,4798,group
2,11858,4822,group
2,12114,4836,group
2,12154,4860,group
2,12256,4918,group
2,12311,5026,group
2,12358,5042,group
2,12410,5100,group
2,12425,5210,group
2,12521,5238,group
2,12532,5266,group
2,12627,5292,group
2,12732,5360,group
2,12900,5406,group
2,12971,5418,group
2,13000,5540,group
2,13073,5566,group
2,13200,5638,group
2,13444,5664,group
2,13468,5688,group
2,13734,5726,group
2,13869,5754,group
2,13890,5788,group
2,13992,5798,group
2,14000,5848,group
2,14300,5890,group
2,14303,5914,group
2,14310,5932,group
2,14479,6048,group
2,14496,6266,group
2,14521,6298,group
2,14600,6336,group
2,14707,6380,group
2,14720,6438,group
2,14731,6590,group
2,14800,6608,group
2,14806,6636,group
2,14892,6656,group
2,14996,6688,group
2,15000,6822,group
2,15110,6842,group
2,15152,6860,group
2,15320,6876,group
2,15362,6936,group
2,15422,6958,group
2,15428,7000,group
2,15513,7092,group
2,15531,7158,group
2,15616,7212,group
2,15720,7368,group
2,15783,7394,group
2,15926,7426,group
2,15932,7470,group
2,16000,7522,group
2,16025,7550,group
2,16030,7570,group
2,16133,7600,group
2,16308,7650,group
2,16341,7684,group
2,16400,7790,group
2,16440,7810,group
2,16444,7834,group
2,16463,7866,group
2,16500,7890,group
2,16520,7972,group
2,16547,8012,group
2,16567,8342,group
2,16650,8364,group
2,16749,8374,group
2,16754,8384,group
2,16961,8396,group
2,16981,8402,group
2,17056,8428,group
2,17064,8448,group
2,17084,8468,group
2,17256,8502,group
2,17271,8530,group
2,17374,8684,group
2,17395,8720,group
2,17464,8740,group
2,17499,8758,group
2,17566,8778,group
2,17581,8804,group
2,17600,8830,group
2,17602,8850,group
2,17800,8878,group
2,17888,9130,group
2,17913,9158,group
2,17975,9278,group
2,18000,9318,group
2,18010,9360,group
2,18202,9466,group
2,18224,9484,group
2,18308,9510,group
2,18383,9532,group
2,18409,9566,group
2,18512,9600,group
2,18584,9672,group
2,18588,9686,group
2,18600,9754,group
2,18637,9814,group
2,18719,9832,group
2,18822,9868,group
2,18940,9952,group
2,18992,9978,group
2,19000,10162,group
2,19052,10266,group
2,19100,10290,group
2,19150,10326,group
2,19259,10360,group
2,19400,10404,group
2,19405,10498,group
2,19466,10586,group
2,19507,10626,group
2,19650,10656,group
2,19673,10688,group
2,20000,10996,group
2,20087,11038,group
2,20097,11058,group
2,20167,11150,group
2,20270,11180,group
2,20300,11192,group
2,20308,11220,group
2,20413,11234,group
2,20426,11478,group
2,20684,11550,group
2,20700,11562,group
2,20708,11592,group
2,20719,11636,group
2,20812,11652,group
2,20835,11690,group
2,20915,11694,group
2,21019,11742,group
2,21039,11778,group
2,21044,12058,group
2,21097,12090,group
2,21202,12112,group
2,21300,12148,group
2,21304,12170,group
2,21330,12188,group
2,21360,12256,group
2,21447,12388,group
2,21500,12432,group
2,21511,12452,group
2,21532,12476,group
2,21537,12488,group
2,21550,12640,group
2,21570,12660,group
2,21718,12822,group
2,21744,12944,group
2,21754,12980,group
2,21781,13054,group
2,21800,13080,group
